StateWellID,Latitude,Longitude,WellDepth,Rainfall,Elevation,Tmin,claytotal_l,awc_l,pi_r,ph_r,Fluoride_avg,Exceedance
649712,35.139167,-101.986389,245,477.4893524,1137,5.87684324,18,0.07,20,8.399999619,2.05975,1
649802,35.155001,-101.919722,267,483.5297499,1124,6.02956729,18,0.07,20,8.399999619,2.2001875,1
764122,35.104167,-102.100278,256,476.3947112,1156,5.72985683,18,0.07,20,8.399999619,2.7241,1
764305,35.101389,-102.009445,279,477.8835781,1135,5.92411028,18,0.07,20,8.399999619,3.361625,1
764310,35.110556,-102.028055,242,476.6748303,1141,5.86156553,18,0.07,20,8.399999619,3.17645,1
764605,35.072778,-102.013056,264,478.8623007,1129,6.00332166,18,0.07,20,8.399999619,3.6725,1
764623,35.076667,-102.010001,278,478.7995895,1129,5.99768548,18,0.07,20,8.399999619,3.886315789,1
1016502,34.811945,-102.052778,168,480.5476487,1156,5.71320949,18,0.07,20,8.399999619,2.25,1
1109719,34.778055,-101.977222,225,473.4535837,1134,5.86061315,18,0.07,20,8.399999619,1.35,0
2762509,32.046667,-102.311389,180,360.1687246,893,10.69373549,20,0.100000001,12,8.199999809,2.946666667,1
756703,35.130833,-102.115001,292,474.3086728,1164,5.64627119,22,0.109999999,19,8.300000191,3.446210526,1
764121,35.112223,-102.100278,269,475.7041665,1158,5.71193866,22,0.109999999,19,8.300000191,2.486722222,1
649806,35.161389,-101.920555,265,483.4788491,1124,6.02640439,22,0.100000001,17,8.5,2.331210526,1
2306109,33.963056,-101.363334,306,507.2449027,969,7.73635827,18,0.07,20,8.399999619,2.23,1
1152912,34.1425,-101.536667,383,500.947965,1004,7.36245816,18,0.07,20,8.399999619,3.18,1
2304901,33.881111,-101.514167,430,499.3539636,979,7.87435097,18,0.07,20,8.399999619,3.675,1
1161111,34.117222,-101.459167,374,510.8024039,997,7.42036511,55,0.109999999,44,8,2.86,1
2306705,33.916389,-101.356945,380,511.4061789,961,7.84815011,55,0.109999999,44,8,2.78,1
2305205,33.958889,-101.448056,416,505.4809537,977,7.75897154,22,0.100000001,21,8.399999619,2.9,1
2305206,33.958889,-101.451112,415,505.3608767,977,7.75963442,22,0.100000001,21,8.399999619,2.98,1
1152907,34.143889,-101.526389,390,502.5416017,1004,7.36075463,27,0.119999997,19,7.900000095,3.15,1
1160208,34.113889,-101.543889,364,499.5665554,1002,7.41762716,27,0.119999997,19,7.900000095,2.64,1
1144905,34.25625,-101.5208333,215,508.8160333,1010,7.23661273,27,0.119999997,19,7.900000095,2.5775,1
1145802,34.2844444,-101.4322222,219,528.9668942,999,7.25297672,27,0.119999997,19,7.900000095,2.86,1
1146701,34.285834,-101.364723,270,546.2632668,992,7.28687267,27,0.119999997,19,7.900000095,3.63,1
1146802,34.290278,-101.293889,302,559.6756075,982,7.33684587,27,0.119999997,19,7.900000095,3.22,1
